"Tomate", 814.93, 873
"Champignon", 3651.68, 108
"Caqui", 803.51, 108
"Ciruela", 938.18, 927
"Batata", 14.66, 870
"Uva", 722.74, 285
"Champignon", 3622.84, 108
"Ciruela", 942.43, 882
"Banana", 60.63, 1150
"Zuccini", 87.45, 486
"Choclo", 47.08, 252
"Batata", 19.20, 1200
"Lima", 1033.49, 218
"Apio", 53.49, 342
"Apio", 63.48, 333
"Alcachofa", 146.81, 288
"Sandía", 58.07, 1080
"Naranja", 2.82, 930
"Batata", 26.13, 930
"Apio", 60.18, 357
"Frutilla", 263.62, 249
"Higo", 2407.56, 107
"Pepino", 38.80, 400
"Berenjena", 64.36, 540
"Mandarina", 20.02, 1090
"Mandarina", 30.57, 910
"Limon", 337.72, 721
"Papa", 18.04, 930
"Coliflor", 22.95, 460
"Coliflor", 25.52, 565
"Palta", 494.96, 590
"Coliflor", 34.00, 570
"Durazno", 148.92, 880
"Calabaza", 19.20, 648
"Zuccini", 96.30, 594
"Durazno", 273.58, 760
"Limon", 335.42, 567
"Ciruela", 963.40, 1035
"Frambuesa", 2048.13, 112
"Tomate", 719.50, 792
"Espárrago", 614.45, 196
"Choclo", 43.98, 276
"Melón", 103.22, 456
"Pepino", 33.40, 520
"Melón", 117.39, 384
"Mandarina", 18.34, 880
"Naranja", 17.46, 1100
"Banana", 74.47, 920
"Mandarina", 17.73, 870
"Tomate", 724.01, 1080
"Tomate", 747.25, 1035
"Rabanito", 241.65, 264
"Ajo", 903.59, 97
"Kinoto", 41.92, 182
"Caqui", 824.77, 84
"Calabaza", 18.54, 832
"Durazno", 138.75, 912
"Champignon", 3585.43, 106
"Apio", 63.10, 324
"Berenjena", 44.37, 516
"Apio", 74.47, 276
"Morrón", 2870.55, 540
"Champignon", 3612.20, 102
"Tomate", 719.39, 972
"Papa", 23.17, 980
"Repollo", 6.56, 791
"Calabaza", 29.41, 848
"Pepino", 35.59, 490
"Melón", 110.73, 360
"Choclo", 60.74, 297
"Durazno", 168.34, 824
"Durazno", 174.11, 872
"Uva", 732.43, 333
"Rabanito", 225.81, 276
"Calabaza", 26.36, 848
"Acelga", 28.79, 810
"Coliflor", 27.13, 440
"Lechuga", 39.88, 792
"Melón", 99.91, 392
"Acelga", 16.64, 774
"Rabanito", 225.24, 342
"Rabanito", 216.69, 360
"Zanahoria", 35.99, 642
"Kiwi", 449.50, 480
"Espárrago", 635.36, 224
"Morrón", 2937.32, 684
"Batata", 19.56, 1130
"Lechuga", 38.00, 981
"Lima", 1051.53, 212
"Morrón", 2943.64, 636
"Naranja", 12.05, 1160
"Berenjena", 50.58, 492
"Berenjena", 57.36, 510
"Brócoli", 362.07, 328
"Champignon", 3572.09, 93
"Champignon", 3683.75, 87
"Berenjena", 57.99, 672
"Lima", 1203.57, 222
"Frambuesa", 2036.66, 105
"Tomate", 715.44, 1026
"Apio", 55.18, 246
"Kiwi", 436.10, 388
"Zanahoria", 41.10, 522
"Durazno", 163.88, 872
"Papa", 16.82, 840
"Coliflor", 34.15, 445
"Brócoli", 346.07, 452
"Kiwi", 415.32, 376
"Limon", 329.70, 826
"Alcachofa", 133.34, 318
"Kinoto", 34.61, 186
"Apio", 59.44, 282
"Durazno", 276.49, 672
"Palta", 1146.15, 352
"Apio", 66.74, 279
"Palta", 500.19, 570
"Zuccini", 73.92, 714
"Pera", 144.00, 910
"Espárrago", 618.70, 228
"Kiwi", 444.40, 356
"Frutilla", 307.73, 348
"Kiwi", 433.45, 376
"Limon", 315.14, 819
"Banana", 55.77, 850
"Lima", 1382.04, 190
"Mandarina", 24.41, 860
"Palta", 1149.82, 404
"Palta", 1141.96, 348
"Higo", 2459.13, 96
"Lima", 1153.62, 220
"Durazno", 160.61, 800
"Rabanito", 227.65, 348
"Pomelo", 49.43, 891
"Kiwi", 450.87, 396
"Naranja", 3.96, 800
"Rabanito", 241.92, 246
"Naranja", 18.52, 880
"Calabaza", 22.33, 752
"Pepino", 22.79, 505
"Naranja", 27.64, 1060
"Limon", 312.90, 609
"Calabaza", 19.01, 672
"Pera", 154.07, 1190
"Frambuesa", 2084.54, 109
"Pepino", 29.95, 480
"Repollo", 4.98, 609
"Batata", 20.10, 900
"Brócoli", 357.53, 420
"Caqui", 843.90, 118
"Repollo", 5.48, 623
"Repollo", 6.65, 588
"Lechuga", 39.73, 792
"Coliflor", 19.81, 495
"Brócoli", 367.60, 436
"Zuccini", 81.30, 492
"Papa", 21.57, 910
"Pepino", 35.79, 565
"Kinoto", 31.00, 196
"Espárrago", 607.68, 162
"Calabaza", 19.53, 680
"Papa", 21.85, 910
"Mandarina", 19.64, 840
"Papa", 19.62, 1140
"Manzana", 128.45, 1160
"Palta", 1157.93, 320
"Manzana", 149.06, 1120
"Caqui", 774.12, 112
"Calabaza", 25.92, 800
"Lechuga", 29.26, 1044
"Pepino", 41.33, 580
"Pomelo", 44.28, 720
"Morrón", 3034.05, 720
"Tomate", 745.43, 855
"Palta", 1135.49, 320
"Melón", 113.68, 376
"Lima", 1321.00, 232
"Uva", 638.31, 348
"Mandarina", 19.03, 820
"Banana", 57.97, 1190
"Mandarina", 19.57, 930
"Durazno", 259.27, 728
"Frutilla", 290.97, 276
"Higo", 2595.76, 86
"Kinoto", 29.41, 210
"Cereza", 1063.74, 186
"Tomate", 755.40, 909
"Sandía", 72.09, 720
"Naranja", 14.86, 980
"Brócoli", 355.28, 448
"Durazno", 129.71, 880
"Kiwi", 416.81, 424
"Limon", 342.69, 630
"Frutilla", 308.15, 309
"Ciruela", 952.58, 855
"Apio", 68.57, 270
"Ciruela", 974.23, 1017
"Lima", 1008.79, 236
"Durazno", 266.72, 960
"Cebolla", 62.39, 872
"Durazno", 276.42, 776
"Naranja", 14.76, 990
"Caqui", 780.79, 106
"Acelga", 26.28, 1080
"Frutilla", 302.84, 258
"Lima", 982.52, 164
"Manzana", 128.21, 1150
"Alcachofa", 156.76, 342
"Kinoto", 25.80, 228
"Zuccini", 89.40, 720
"Lima", 1388.17, 168
"Champignon", 3669.61, 93
"Naranja", 15.64, 1080
"Repollo", 3.32, 819
"Limon", 334.07, 742
"TomCherry", 548.52, 238
"Tomate", 760.76, 873
"Palta", 1117.47, 328
"Kinoto", 33.06, 174
"Rabanito", 232.21, 273
"Tomate", 748.59, 747
"Batata", 19.65, 1020
"Zuccini", 75.05, 582
"Mandarina", 33.68, 1020
"Apio", 56.15, 339
"Caqui", 814.59, 106
"Lima", 1391.32, 212
"Cereza", 1016.75, 234
"Espárrago", 618.65, 214
"Coliflor", 17.48, 590
